"G_ID","group","clusters","x","y","link","geometry"
"G1_35",1,3,90.4312950395776,23.8963772300284,"https://www.google.com/maps/search/?api=1&query=23.89637723,90.43129503",c(90.4312950395776, 23.8963772300284)
"G1_36",1,3,90.4356074718738,23.8812029392762,"https://www.google.com/maps/search/?api=1&query=23.88120293,90.43560747",c(90.4356074718738, 23.8812029392762)
"G1_37",1,3,90.4356018144286,23.8957725780002,"https://www.google.com/maps/search/?api=1&query=23.89577257,90.43560181",c(90.4356018144286, 23.8957725780002)
"G1_38",1,3,90.4323794878998,23.8883626515477,"https://www.google.com/maps/search/?api=1&query=23.88836265,90.43237948",c(90.4323794878998, 23.8883626515477)
"G1_39",1,3,90.4518572816535,23.889348086756,"https://www.google.com/maps/search/?api=1&query=23.88934808,90.45185728",c(90.4518572816535, 23.889348086756)
"G1_40",1,3,90.440269864626,23.8791384762987,"https://www.google.com/maps/search/?api=1&query=23.87913847,90.44026986",c(90.440269864626, 23.8791384762987)
"G1_41",1,3,90.4408583834406,23.8855650261631,"https://www.google.com/maps/search/?api=1&query=23.88556502,90.44085838",c(90.4408583834406, 23.8855650261631)
"G1_42",1,4,90.4393054634572,23.8592549802512,"https://www.google.com/maps/search/?api=1&query=23.85925498,90.43930546",c(90.4393054634572, 23.8592549802512)
"G1_43",1,4,90.4300123934885,23.8624351815045,"https://www.google.com/maps/search/?api=1&query=23.86243518,90.43001239",c(90.4300123934885, 23.8624351815045)
"G1_44",1,4,90.427876452193,23.8645855424618,"https://www.google.com/maps/search/?api=1&query=23.86458554,90.42787645",c(90.427876452193, 23.8645855424618)
"G1_45",1,4,90.4302511921373,23.864824820069,"https://www.google.com/maps/search/?api=1&query=23.86482482,90.43025119",c(90.4302511921373, 23.864824820069)
"G1_46",1,4,90.4314167328277,23.8617565918665,"https://www.google.com/maps/search/?api=1&query=23.86175659,90.43141673",c(90.4314167328277, 23.8617565918665)
"G1_47",1,4,90.4337773796991,23.8709297158077,"https://www.google.com/maps/search/?api=1&query=23.87092971,90.43377737",c(90.4337773796991, 23.8709297158077)
"G1_48",1,4,90.4288354934394,23.8646891028516,"https://www.google.com/maps/search/?api=1&query=23.86468910,90.42883549",c(90.4288354934394, 23.8646891028516)
"G1_49",1,4,90.4273108080248,23.8658662577058,"https://www.google.com/maps/search/?api=1&query=23.86586625,90.42731080",c(90.4273108080248, 23.8658662577058)
"G1_50",1,4,90.4359044545515,23.8631399292822,"https://www.google.com/maps/search/?api=1&query=23.86313992,90.43590445",c(90.4359044545515, 23.8631399292822)
"G1_51",1,4,90.4407182161914,23.8750789490609,"https://www.google.com/maps/search/?api=1&query=23.87507894,90.44071821",c(90.4407182161914, 23.8750789490609)
"G1_52",1,4,90.4315254036863,23.864851400049,"https://www.google.com/maps/search/?api=1&query=23.86485140,90.43152540",c(90.4315254036863, 23.864851400049)
"G1_53",1,5,90.4112399145624,23.8822287321901,"https://www.google.com/maps/search/?api=1&query=23.88222873,90.41123991",c(90.4112399145624, 23.8822287321901)
"G1_54",1,5,90.4195176092346,23.8818719047404,"https://www.google.com/maps/search/?api=1&query=23.88187190,90.41951760",c(90.4195176092346, 23.8818719047404)
"G1_55",1,5,90.4076026097515,23.8803555209,"https://www.google.com/maps/search/?api=1&query=23.88035552,90.40760260",c(90.4076026097515, 23.8803555209)
"G1_56",1,5,90.4081959818446,23.8752076899218,"https://www.google.com/maps/search/?api=1&query=23.87520768,90.40819598",c(90.4081959818446, 23.8752076899218)
"G1_57",1,5,90.414860079223,23.8760025992979,"https://www.google.com/maps/search/?api=1&query=23.87600259,90.41486007",c(90.414860079223, 23.8760025992979)
"G1_58",1,5,90.4162629415359,23.8785952398923,"https://www.google.com/maps/search/?api=1&query=23.87859523,90.41626294",c(90.4162629415359, 23.8785952398923)
"G1_59",1,5,90.4147505992518,23.8803565373437,"https://www.google.com/maps/search/?api=1&query=23.88035653,90.41475059",c(90.4147505992518, 23.8803565373437)
"G1_60",1,5,90.40983387941,23.876754631736,"https://www.google.com/maps/search/?api=1&query=23.87675463,90.40983387",c(90.40983387941, 23.876754631736)
"G1_61",1,5,90.4090737298647,23.8756250727109,"https://www.google.com/maps/search/?api=1&query=23.87562507,90.40907372",c(90.4090737298647, 23.8756250727109)
"G1_62",1,5,90.406966844379,23.8810168506471,"https://www.google.com/maps/search/?api=1&query=23.88101685,90.40696684",c(90.406966844379, 23.8810168506471)
"G1_63",1,5,90.4185484847875,23.8843002759439,"https://www.google.com/maps/search/?api=1&query=23.88430027,90.41854848",c(90.4185484847875, 23.8843002759439)
"G1_64",1,5,90.41507411049,23.8771904010476,"https://www.google.com/maps/search/?api=1&query=23.87719040,90.41507411",c(90.41507411049, 23.8771904010476)
"G1_65",1,5,90.4170902965953,23.8701236564947,"https://www.google.com/maps/search/?api=1&query=23.87012365,90.41709029",c(90.4170902965953, 23.8701236564947)
"G1_66",1,5,90.417447953661,23.877417202086,"https://www.google.com/maps/search/?api=1&query=23.87741720,90.41744795",c(90.417447953661, 23.877417202086)
"G2_01",2,1,90.4717296947254,23.7091568502813,"https://www.google.com/maps/search/?api=1&query=23.70915685,90.47172969",c(90.4717296947254, 23.7091568502813)
"G2_02",2,1,90.4686657273727,23.7164491479551,"https://www.google.com/maps/search/?api=1&query=23.71644914,90.46866572",c(90.4686657273727, 23.7164491479551)
